Name,Carbon,Height
Tilia cordata,27.9,6.0
Tilia cordata,27.9,6.0
Tilia cordata,39.0,6.0
Tilia cordata,39.0,6.0
Tilia cordata,39.0,6.0
Tilia cordata,15.0,5.0
Tilia cordata,18.8,5.0
Tilia cordata,23.1,5.0
Tilia cordata,8.9,4.0
Tilia cordata,8.9,4.0
Tilia cordata,8.9,4.0
Tilia cordata,86.3,8.0
Tilia cordata,76.9,8.0
Tilia cordata,76.9,8.0
Tilia cordata,27.9,7.0
Tilia cordata,76.9,8.0
Tilia cordata,6.5,4.0
Tilia cordata,142.8,12.0
Tilia cordata,8.9,4.0
Tilia cordata,8.9,4.0
Tilia cordata,394.5,16.0
Tilia cordata,11.7,4.0
Tilia cordata,11.7,4.0
Tilia cordata,11.7,4.0
Tilia cordata,11.7,4.0
Tilia cordata,287.9,12.0
Tilia cordata,233.1,11.0
Tilia cordata,60.0,10.0
Tilia cordata,233.1,11.0
Tilia cordata,233.1,11.0
Tilia cordata,233.1,11.0
Tilia cordata,233.1,11.0
Tilia cordata,233.1,11.0
Tilia cordata,233.1,11.0
Tilia cordata,233.1,11.0
Tilia cordata,233.1,11.0
Tilia cordata,1026.2,13.0
Tilia cordata,287.9,6.0
Tilia cordata,233.1,9.0
Tilia cordata,493.9,9.0
Tilia cordata,442.5,10.0
Tilia cordata,76.9,8.0
Tilia cordata,200.2,14.0
Tilia cordata,200.2,17.0
Tilia cordata,1736.8,18.0
Tilia cordata,8.9,3.0
Tilia cordata,15.0,3.0
Tilia cordata,8.9,3.0
Tilia cordata,8.9,3.0
Tilia cordata,8.9,3.0
Tilia cordata,1026.2,9.0
Tilia cordata,130.2,8.0
Tilia cordata,130.2,8.0
Tilia cordata,200.2,8.0
Tilia cordata,130.2,8.0
Tilia cordata,130.2,8.0
Tilia cordata,130.2,8.0
Tilia cordata,287.9,8.0
Tilia cordata,287.9,8.0
Tilia cordata,287.9,8.0
Tilia cordata,200.2,8.0
Tilia cordata,287.9,8.0
Tilia cordata,200.2,8.0
Tilia cordata,200.2,8.0
Tilia cordata,200.2,8.0
Tilia cordata,200.2,8.0
Tilia cordata,200.2,8.0
Tilia cordata,200.2,7.0
Tilia cordata,86.3,5.0
Tilia cordata,170.1,5.0
Tilia cordata,170.1,5.0
Tilia cordata,39.0,5.0
Tilia cordata,39.0,5.0
Tilia cordata,68.2,4.0
Tilia cordata,15.0,3.0
Tilia cordata,23.1,4.0
